,claim,combined_evidence,label,top_sentences
10,Stranger than Fiction is a film.,"['Stranger than Fiction is a 2006 American fantasy comedy-drama film directed by Marc Forster ', 'produced by Lindsay Doran ', 'and written by Zach Helm .']",SUPPORTS,"['produced by Lindsay Doran ', 'and written by Zach Helm .', 'Stranger than Fiction is a 2006 American fantasy comedy-drama film directed by Marc Forster ']"
11,Chris Hemsworth appeared in A Perfect Getaway.,"['Hemsworth has also appeared in the science fiction action film Star Trek -LRB- 2009 -RRB- ', 'the thriller adventure A Perfect Getaway -LRB- 2009 -RRB- ', 'the horror comedy The Cabin in the Woods -LRB- 2012 -RRB- ', 'the dark-fantasy action film Snow White and the Huntsman -LRB- 2012 -RRB- ', 'the war film Red Dawn -LRB- 2012 -RRB- ', 'and the biographical sports drama film Rush -LRB- 2013 -RRB- .']",SUPPORTS,"['and the biographical sports drama film Rush -LRB- 2013 -RRB- .', 'Hemsworth has also appeared in the science fiction action film Star Trek -LRB- 2009 -RRB- ', 'the thriller adventure A Perfect Getaway -LRB- 2009 -RRB- ']"
12,Adrienne Bailon is an accountant.,"['Adrienne Eliza Houghton -LRB- née Bailon ; born October 24 ', '1983 -RRB- is an American singer-songwriter ', 'recording artist ', 'actress ', 'dancer and television personality .']",REFUTES,"['actress ', '1983 -RRB- is an American singer-songwriter ', 'recording artist ']"
13,Puerto Rico is not an unincorporated territory of the United States.,"[""Puerto Rico -LRB- Spanish for `` Rich Port '' -RRB- "", 'officially the Commonwealth of Puerto Rico -LRB- Estado Libre Asociado de Puerto Rico ', ""`` Free Associated State of Puerto Rico '' -RRB- and briefly called Porto Rico "", 'is an unincorporated territory of the United States located in the northeast Caribbean Sea .']",REFUTES,"['officially the Commonwealth of Puerto Rico -LRB- Estado Libre Asociado de Puerto Rico ', 'is an unincorporated territory of the United States located in the northeast Caribbean Sea .', ""`` Free Associated State of Puerto Rico '' -RRB- and briefly called Porto Rico ""]"
14,Selena recorded music.,"['It is one of the most highly contested new gTLDs ', 'with 8 competitive applications in contention .', 'Music may also refer to :', 'Selena was released on March 21 ', '1997 in the United States to positive reviews from critics and audiences .']",NOT ENOUGH INFO,"['Music may also refer to :', 'Selena was released on March 21 ', 'with 8 competitive applications in contention .']"
15,There is a movie called The Hunger Games.,"['The first three films set records at the box office .', 'The first two books in the series were both New York Times best sellers ', 'and Mockingjay topped all US bestseller lists upon its release .', 'The Hunger Games is the 16th highest-grossing film franchise of all time ', 'having grossed over US$ 2.9 billion worldwide .']",NOT ENOUGH INFO,"['The first three films set records at the box office .', 'having grossed over US$ 2.9 billion worldwide .', 'The Hunger Games is the 16th highest-grossing film franchise of all time ']"
16,Roman Atwood is a content creator.,"['His vlogging channel ', ""`` RomanAtwoodVlogs '' "", 'has a total of 3.3 billion views and 11.9 million subscribers .', 'Content is `` something that is to be expressed through some medium ', 'as speech ', ""writing or any of various arts '' .""]",NOT ENOUGH INFO,"['as speech ', 'His vlogging channel ', ""`` RomanAtwoodVlogs '' ""]"
17,The Ten Commandments is an epic film.,"['The film was released to theaters on October 19 ', '2007 and on DVD on February 5 ', '2008 .', ""Scholars argue that the epic has long since become `` disembedded '' from its origins in oral poetry "", 'appearing in successive narrative media throughout history .']",NOT ENOUGH INFO,"['The film was released to theaters on October 19 ', ""Scholars argue that the epic has long since become `` disembedded '' from its origins in oral poetry "", '2008 .']"
18,Adrienne Bailon is an accountant.,"[""Accountants who have demonstrated competency through their professional associations ' certification exams are certified to use titles such as Chartered Accountant "", 'Chartered Certified Accountant or Certified Public Accountant .']",NOT ENOUGH INFO,"[""Accountants who have demonstrated competency through their professional associations ' certification exams are certified to use titles such as Chartered Accountant "", 'Chartered Certified Accountant or Certified Public Accountant .']"
19,Homeland is an American television spy thriller based on the Israeli television series Prisoners of War.,['Recording took place in Vanguard Studios located in New York City .'],NOT ENOUGH INFO,['Recording took place in Vanguard Studios located in New York City .']
20,Tetris has sold millions of physical copies.,['is a puzzle video game for the Game Boy released in 1989 .'],NOT ENOUGH INFO,['is a puzzle video game for the Game Boy released in 1989 .']
21,The Boston Celtics play their home games at TD Garden.,"['The Celtics rose again after struggling through the 1990s to win a championship in 2008 with the help of Kevin Garnett ', 'Paul Pierce ', ""and Ray Allen in what was known as the new `` Big Three '' era "", ""following the original `` Big Three '' era of the 1980s that featured Larry Bird "", 'Kevin McHale ', 'and Robert Parish .']",NOT ENOUGH INFO,"['The Celtics rose again after struggling through the 1990s to win a championship in 2008 with the help of Kevin Garnett ', ""following the original `` Big Three '' era of the 1980s that featured Larry Bird "", 'Paul Pierce ']"
22,Ryan Gosling has been to a country in Africa.,['In the late 19th century European countries colonized most of Africa .'],NOT ENOUGH INFO,['In the late 19th century European countries colonized most of Africa .']
23,Cyndi Lauper won the Best New Artist award at the 27th Grammy Awards in 1985.,['Her success continued with the soundtrack for the motion picture The Goonies and her second record True Colors -LRB- 1986 -RRB- .'],NOT ENOUGH INFO,['Her success continued with the soundtrack for the motion picture The Goonies and her second record True Colors -LRB- 1986 -RRB- .']
24,Ryan Seacrest is a person.,['Ryan is a given name in English .'],NOT ENOUGH INFO,['Ryan is a given name in English .']
25,Puerto Rico is not an unincorporated territory of the United States.,"['In the Spanish imperial imagination ', 'Puerto Rico played a secondary ', 'but strategic role when compared to wealthier colonies like Peru and Mexico .']",NOT ENOUGH INFO,"['Puerto Rico played a secondary ', 'but strategic role when compared to wealthier colonies like Peru and Mexico .', 'In the Spanish imperial imagination ']"
26,Stranger than Fiction is a film.,"[""The name `` film '' originates from the fact that photographic film -LRB- also called film stock -RRB- has historically been the medium for recording and displaying motion pictures .""]",NOT ENOUGH INFO,"[""The name `` film '' originates from the fact that photographic film -LRB- also called film stock -RRB- has historically been the medium for recording and displaying motion pictures .""]"
27,Chris Hemsworth appeared in A Perfect Getaway.,['The film was a modest financial success .'],NOT ENOUGH INFO,['The film was a modest financial success .']
